"기간","자치구","총전입","여성전입","남성전입","총전출","여성전출","남성전출"
2015.07,"종로구",1995,996,999,2304,1201,1103
2015.07,"중구",1610,831,779,1945,1008,937
2015.07,"중랑구",5320,2611,2709,6237,3152,3085
2015.08,"강남구",8812,4314,4498,9026,4376,4650
2015.08,"강동구",5726,2865,2861,7115,3552,3563
2015.08,"강북구",3964,1962,2002,4476,2256,2220
2015.08,"강서구",7445,3739,3706,7305,3598,3707
2015.08,"관악구",7618,4037,3581,8238,4312,3926
2015.08,"광진구",4652,2296,2356,5229,2590,2639
2015.08,"구로구",4487,2184,2303,5276,2638,2638
2015.08,"금천구",2798,1441,1357,3144,1628,1516
2015.08,"노원구",6029,2971,3058,7008,3491,3517
2015.08,"도봉구",4081,2019,2062,4550,2236,2314
2015.08,"동대문구",4734,2467,2267,5221,2677,2544
2015.08,"동작구",5471,2738,2733,6884,3449,3435
2015.08,"마포구",5335,2505,2830,5733,2768,2965
2015.08,"서대문구",3630,1792,1838,4202,2090,2112
2015.08,"서초구",6763,3244,3519,6612,3220,3392
2015.08,"성동구",3859,1941,1918,4036,2024,2012
